name,status,img,established,lat,lon,locality,zipcode,location_type,is_closed,street,region,in_planning,is_primary
1789 Brewery & Taphouse,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/eRrmuR/upload_sVmEqJ-icon.png,,35.7826363,-80.8872959,Statesville,28625,Micro Brewery,N,,North Carolina,Y,Y
1859 Central Ranges Brewing Co,Verified,,,-33.43668,149.36353,Vittoria,2795,Brewpub,N,2319 Mitchell Highway,New South Wales,N,Y
18th Street Brewery,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/wTxSsQ/upload_cgqdku-icon.png,2010.0,41.5990572,-87.267179,Gary,46403,Micro Brewery,N,5725 Miller Ave,Indiana,N,Y
1912 Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/RQNLui/upload_LZ8R1P-icon.png,,32.2464609,-110.993871,Tucson,85745,Micro Brewery,N,2045 N Forbes Blvd.,Arizona,N,N
192 Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/nFgA09/upload_ACCLxl-icon.png,2009.0,47.776554,-122.2351,Kenmore,98028,Micro Brewery,N,7811 Ne 205th Street,Washington,N,Y
192 Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/nFgA09/upload_ACCLxl-icon.png,2009.0,47.7566065,-122.2424505,Kenmore,98028,Tasting Room,N,7324 NE 175th Street,Washington,N,N
1933 Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/HQNyhH/upload_vGG1j1-icon.png,2014.0,40.5311387,-105.0801963,Fort Collins,80525,Micro Brewery,N,4025 S. Mason St.,Colorado,N,Y
1940's Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/r4JMh7/upload_JjTxB2-icon.png,2014.0,40.783329,-73.08329,Holbrook,11741,Micro Brewery,N,1337-1 Lincoln Avenue,New York,N,Y
1974 Brewing Company,Verified,,2012.0,40.2453741,-75.6496302,Pottstown,,Nano Brewery,Y,,Pennsylvania,N,Y
2 Basset Brewery,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/qfGVU4/upload_6CGM2H-icon.png,2016.0,46.54816,-110.9010709,White Sulphur Springs,,Micro Brewery,N,202 Main Street,Montana,N,Y
2 Row Brewing Co.,"New, Unverified",,,40.6265613,-111.9000987,Midvale,84047,Micro Brewery,N,6856 s. 300 w.,Utah,N,N
2 Towns Ciderhouse,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/ZsEYA4/upload_5ob4Eh-icon.png,2010.0,44.5633722,-123.2259542,Corvallis,97333,Cidery,N,33930 SE Eastgate Circle,Oregon,N,Y
2 Way Brewing Company,Verified,,,41.5083675,-73.9810105,Beacon,12508,Micro Brewery,N,18 West Main Street,New York,N,N
"2 Witches Winery and Brewing Company, Inc.",Verified,,2012.0,36.5858251,-79.4213237,Danville,24541,Micro Brewery,N,209 Trade St,Virginia,Y,Y
217 Brew Works,Verified,,,35.7229468,-77.9121525,Wilson,27893,Micro Brewery,N,217 South Street South,North Carolina,Y,N
21st Amendment Brewery,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/EdRcIs/upload_gfSGyp-icon.png,2000.0,37.7824892,-122.3924905,San Francisco,94107,Brewpub,N,563 Second Street,California,N,Y
21st Amendment Brewery,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/EdRcIs/upload_gfSGyp-icon.png,2000.0,37.7131202,-122.170665,San Leandro,,Tasting Room,N,Williams St.,California,N,N
238 Brewing Company,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/DYA1CI/upload_RIUk3b-icon.png,2015.0,47.830388,-117.265603,Mead,99021,Micro Brewery,N,10321 E Day Mt Spokane Rd,Washington,N,Y
23rd Street Brewery,Verified,https://s3.amazonaws.com/brewerydbapi/brewery/V79a57/upload_RZnvuW-icon.png,2006.0,38.9429975,-95.2810862,Lawrence,66047,Brewpub,N,3512 Clinton Parkway,Kansas,N,Y
